TRAIL,LENGTH (KMS),DESCRIPTION,POINT_X,POINT_Y
Booth's Rock Trail,5.1,"Located at km 40.5 - This trail visits two lakes and a spectacular lookout, returning via an abandoned railway.",-78.3993902,45.5181876
Track and Tower Trail,7.7,Located at km 25 - This looped trail features a spectacular lookout over Cache Lake. An optional 5.5 km side trip follows an abandoned railway to Mew Lake.,-78.5774994,45.5599753
Hardwood Lookout Trail,0.8,Located at km 13.8 - This walk introduces the visitor to the ecology of a typical Algonquin hardwood forest and culminates in a fine view of Smoke Lake and the surrounding hills.,-78.7061451,45.5285642
Whiskey Rapids Trail,2.1,Located at km 7.2 - This looped trail leads along the Oxtongue River to scenic Whiskey Rapids. The trail guide discusses the ecology and history of an Algonquin river.,-78.756631,45.4852475
Two Rivers Trail,2.1,Located at km 31 - This looped trail includes an easy climb to a pine-clad cliff.,-78.5123426,45.5798649
Hemlock Bluff Trail,3.5,Located at km 27.2 - This trail lead through a mixed forest to an impressive view of Jack Lake.,-78.5516971,45.5650328
Big Pines Trail,2.9,"Located at km 40.3 - This trail visits spectacularly large, old growth White Pine and the remains of an 1880s logging camp.",-78.3993618,45.5807547
Lookout Trail,1.9,Located at km 39.7 - This trail is relatively steep and rugged but affords the hike with a magnificent view of several hundred square kilometres of Algonquin.,-78.4068974,45.5793336
Peck Lake Trail,1.9,Located at km 19.2 - This trail circumnavigates the shoreline of Peck Lake. The trail guide explores the ecology of a typical Algonquin lake.,-78.6493058,45.5479303
Beaver Pond Trail,2,Located at km 45.2 - This trail provides excellent views of two beaver ponds.,-78.3400657,45.591792
Mizzy Lake Trail,11,Located at km 15.4 - This trail requires an early start and a full day to do properly. It visits nine ponds and small lakes and affords some of the best chances to see wildlife in the Parkway Corridor. Dogs are not permitted on the trail.,-78.6952209,45.5427005
Centennial Ridges Trail,10,Located at km 37.6 - This demanding loop rewards the hiker with spectacular viewing along two high ridges.,-78.419579,45.5563108
Bat Lake Trail,5.6,"Located at km 30 - This looped trail introduces the hiker to basic park ecology while visiting a beautiful hemlock stand, a fine lookout, and acidic Bat Lake.",-78.5225841,45.5770692
Spruce Bog Boardwalk Trail,1.5,Located at km 42.5 - Spruce Bog Boardwalk contains several boardwalk sections in this 1.5 km loop trail that give you an excellent close-up look of two typical northern spruce bogs.,-78.3730819,45.5870809
